TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
22687,MYS-BSB SUF EXPRESS,SWR,SUF,SUF,MYS,BSB,21,LHB
22688,BSB-MYS SUF EXPRESS,SWR,SUF,SUF,BSB,MYS,21,LHB
22829,BHUJ  SHM SUF EXP,SER,SUF,SUF,BHUJ,SHM,22,LHB
22830,SHM BVJ SUF EXP,SER,SUF,SUF,SHM,BHUJ,22,LHB
22909,BL - PURI SUF,WR,SUF,SUF,BL,PURI,22,LHB
22910,PURI - BL SPL,WR,SUF,SUF,PURI,BL,22,LHB
22911,SHIPRA EXPRESS,WR,SUF,SUF,INDB,HWH,22,LHB
22912,SHIPRA EXPRESS,WR,SUF,SUF,HWH,INDB,22,LHB
22913,BDTS-SAHARSA HUMSAFAR,WR,SUF,HMSF,BDTS,SHC,22,LHB
22914,SAHARSA - BDTS HUMSAFAR,WR,SUF,HMSF,SHC,BDTS,22,LHB
22937,RAJKOT - REWA EXPRESS,WR,SUF,SUF,RJT,REWA,22,LHB
22938,REWA - RJT EXPRESS,WR,SUF,SUF,REWA,RJT,22,LHB
22947,ST-BGP S.F EXP,WR,SUF,SUF,ST,BGP,22,LHB
22948,BGP - ST SUF EXPRESS,WR,SUF,SUF,BGP,ST,22,LHB
22967,ADI PRYJ  EXPRESS,WR,SUF,SUF,ADI,PRYJ,20,LHB
22968,PRYJ ADI  SUF,WR,SUF,SUF,PRYJ,ADI,20,LHB
22971,BDTS - PNBE SUF,WR,SUF,SUF,BDTS,PNBE,22,LHB
22972,PNBE - BDTS SUF EXPRESS,WR,SUF,SUF,PNBE,BDTS,22,LHB
61619,BINA-KMZ MEMU,WCR,MEMU,MEMU,BINA,KMZ,12,MEMU
61620,KMZ-BINA MEMU,WCR,MEMU,MEMU,KMZ,BINA,12,MEMU
68747,BSP-KTE,SECR,MEMU,MEMU,BSP,KTE,8,MEMU
68748,KTE-BSP,SECR,MEMU,MEMU,KTE,BSP,8,MEMU
A17409,BSL-MRZA UNSCHD PARCEL,CR,PPSP,PPSP,BSL,MRZA,1,LHB
