TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
07652,CPR-J,SCR,TOD,PUJA,CPR,J,24,ICF
08611,SRC-AII SPECIAL TOD,SER,TOD,TOD,SRC,AII,20,ICF
08611,SRC-AII WEEKLY PUJA SPL,SER,TOD,PUJA,SRC,AII,20,ICF
08612,AII-SRC SPECIAL TOD,SER,TOD,PUJA,AII,SRC,20,ICF
08612,AII-SRC SPECIAL TOD,SER,TOD,TOD,AII,SRC,20,ICF
08853,BSP-AYC SPL,SECR,TRST,BHGV,BSP,AYC,15,LHB
08854,AYC-BSP SPL,SECR,TRST,BHGV,AYC,BSP,15,LHB
09025,BL-DNR SPECIAL,WR,TOD,PUJA,BL,DNR,22,ICF
09026,DNR-BL SPECIAL,WR,TOD,SUMR,DNR,BL,22,ICF
09029,BANDRA - REWA SPECIAL,WR,TOD,PUJA,BDTS,REWA,22,LHB
09030,REWA-BANDRA SPECIAL,WR,TOD,PUJA,REWA,BDTS,22,LHB
09031,UDN - JYG SPECIAL,WR,TOD,PUJA,UDN,JYG,22,LHB
09032,JYG - UDN SPECIAL,WR,TOD,PUJA,JYG,UDN,22,LHB
09033,UDHNA-BARAUNI SPECIAL,WR,TOD,PUJA,UDN,BJU,16,LHB
09034,BARAUNI - UDHNA SPECIAL,WR,TOD,PUJA,BJU,UDN,16,LHB
09039,UDN - DHN SPL,WR,TOD,PUJA,UDN,DHN,22,ICF
09040,DHN-UDN SPL,WR,TOD,PUJA,DHN,UDN,22,ICF
09045,UDN-PNBE SUF SPECIAL,WR,TOD,PUJA,UDN,PNBE,22,LHB
09046,PNBE-UDN SUF SPECIAL,WR,TOD,PUJA,PNBE,UDN,22,LHB
09065,ST - CPR SPL CLONE TRAIN,WR,TOD,CLON,ST,CPR,22,LHB
09066,CPR - ST SPL CLONE TRAIN,WR,TOD,CLON,CPR,ST,22,LHB
09067,UDHNA - JAYNAGAR SPECIAL,WR,TOD,PUJA,UDN,JYG,17,LHB
09068,JAYNAGAR - UDHNA SPECIAL,WR,TOD,PUJA,JYG,UDN,17,LHB
09069,UDN-SPJ SPECIAL TRAIN,WR,TOD,PUJA,UDN,SPJ,16,LHB
09070,SPJ-UDN SPECIAL TRAIN,WR,TOD,PUJA,SPJ,UDN,16,LHB
09151,UDN-JYG SPL,WR,TOD,PUJA,UDN,JYG,22,ICF
09343,DADN - PNBE SPL,WR,TOD,PUJA,DADN,PNBE,22,LHB
09344,PNBE - DADN SPL,WR,TOD,PUJA,PNBE,DADN,22,LHB
09619,AJMER RANCHI TOD,NWR,TOD,PUJA,AII,RNC,18,ICF
09620,RANCHI AJMER TOD,NWR,TOD,PUJA,RNC,AII,18,ICF
11015,LTT-SHC AMRIT BHARAT,CR,AMTB,AMTB,LTT,SHC,22,AMTB
11016,SHC-LTT AMRIT BHARAT,CR,AMTB,AMTB,SHC,LTT,22,AMTB
11033,PUNE-DBG EXP,CR,MEX,MEX,PUNE,DBG,20,LHB
11034,DBG-PUNE EXPRESS,CR,MEX,MEX,DBG,PUNE,20,LHB
11037,PUNE-GKP EXPRESS,CR,MEX,MEX,PUNE,BNY,20,LHB
11037,PUNE-GKP EXPRESS,CR,MEX,MEX,PUNE,GKP,20,LHB
11038,GKP-PUNE EXP,CR,MEX,MEX,BNY,PUNE,20,LHB
11038,GKP-PUNE EXP,CR,MEX,MEX,GKP,PUNE,20,LHB
11045,KOP-DHN EXP,CR,MEX,MEX,KOP,DHN,20,LHB
11046,DHN-KOP DIKSHABHUMI EXP,CR,MEX,MEX,DHN,KOP,20,LHB
11055,LTT-GD GODAN EXPRESS,CR,MEX,MEX,LTT,GD,22,LHB
11056,GD-LTT GODAN EXPRESS,CR,MEX,MEX,GD,LTT,22,LHB
